Airport,State,Index,Country
PNW,CQ,96477,XE
OGG,AG,60245,QO
GMN,XD,01526,RF
WKU,DX,65326,FQ
GZC,MX,33775,PT
VZY,IY,53159,FP
ZXZ,FI,79833,EU
HIY,QC,37066,JR
BCQ,ZA,43341,RZ
AXE,PL,51029,YN
JXD,HT,67207,OG
NKM,NN,15406,EB
RBS,LP,19959,PQ
UFM,DD,68772,DK
TZB,JM,89869,MO
FJY,ZB,14043,IO
VRZ,NJ,31688,MY
IDU,KP,82582,VO
CPA,TC,53470,UD
BMN,EZ,65026,BI
RLR,KB,46728,DZ
BDP,NI,99081,JY
DLJ,NS,27266,VU
POE,DB,22164,BE
OMB,FA,03064,UA
PUS,ZL,96858,FL
UPW,RE,41844,ZN
ZOD,JQ,66075,GX
CRO,XN,14225,BH
OBM,JP,88430,YG
JGV,EK,20589,KX
MNN,PJ,64104,VF
MHL,UD,15048,ZA
WCE,QC,36967,QG
KJC,AJ,86932,TK
MWA,OC,07943,BY
EIY,QL,66306,CM
BYW,GV,55031,YJ
XUC,YE,25927,NE
UKZ,FV,36843,WV
ULO,YP,51841,OR
ZKA,XB,75863,HW
NQO,KZ,75376,RW
KKG,TK,31931,BG
CDX,LI,24143,DN
MTT,WN,11316,EY
YSD,UQ,37610,QC
KRZ,XP,08840,XE
ZDB,OE,38781,DI
EIW,ZL,35313,BD
QEW,DB,37561,RF
GEL,OA,25516,DC
ZGQ,GT,33576,MZ
RWD,TJ,52318,KN
NYR,BR,66906,QT
BVA,LA,84928,QG
VBZ,IB,36989,JK
ATZ,CN,59266,XO
YVC,SZ,06071,MJ
EDV,OE,92867,RX
TEY,CT,24753,FV
OUU,YM,24867,KA
MQN,WZ,11352,IB
KIW,LX,29959,DB
MSO,BS,25007,IO
XNW,LE,80913,AJ
LUP,SB,90415,SY
XVC,GF,27939,BQ
ADQ,VH,24319,MV
EGX,JU,83017,OT
TIN,HU,87768,NN
MXR,FT,88963,GX
MGA,JA,57257,UX
YZL,OM,40535,ZD
KEV,NT,51518,FJ
BKM,RB,57180,UI
VXR,NL,85235,RR
XYN,NP,29269,QH
EUL,VE,16873,DQ
XFW,IG,85288,VS
IGH,TS,20852,WG
CNU,RG,67932,ZY
CNZ,VJ,14225,KZ
ZXN,SC,40700,KZ
UOM,YP,93050,UU
YFT,JF,17145,PT
JKO,AH,98837,EA
JXB,DI,99778,XT
SJE,NA,32387,RM
OFG,IY,57899,QH
FIG,UU,09536,CX
ENK,XD,37423,IF
DDO,RQ,47537,KL
TRO,OR,01927,ZI
HHX,VJ,97331,KV
TIC,IP,56537,LD
JGS,BW,58049,IF
HFW,LU,57826,NL
OAS,PW,91893,YN
XMF,PJ,15005,BX
BWI,YC,93907,RH
JZY,WN,48271,OW
FAV,GH,47766,SJ
PBQ,HH,10988,PP
YZN,RH,25465,PP
ADZ,OR,67918,SB
ITF,IY,38962,VK
SES,UR,30221,EK
GLY,WX,31102,HQ
MST,AY,77580,DZ
BTM,PB,61318,ZQ
AMW,IY,45216,OH
ACK,LF,55906,ZZ
QUV,AF,88430,SX
PXA,MG,04510,IB
JOU,BZ,22361,WZ
SEK,FH,90592,KZ
PCN,ZM,21565,TX
JXR,FA,11600,SA
PWT,MO,48172,EG
FRR,TN,02196,DR
RQQ,HF,20313,TG
UQH,TH,16794,WV
WAT,HK,38544,JM
JGR,SD,61921,GH
QDX,UI,94394,CJ
HQH,YX,68703,OW
FSO,IV,35254,JE
KNY,KW,20914,ZX
UZG,DF,08456,GS
CEQ,GZ,02452,JY
YTS,UM,64251,FM
LOL,CO,04672,WF
YFH,LW,60590,EB
VDX,YK,90917,WW
OJC,YK,18867,ED
TDE,IA,34057,FB
FSK,ZG,58849,JL
LHQ,MR,16522,GW
TLL,JF,88386,GM
OQN,FC,63283,LO
RQS,LW,30228,JP
NYX,FH,32286,JF
CME,RP,43916,YN
QIC,CI,04543,OG
RAU,HO,64627,AK
UAT,UU,67499,ZQ
HUQ,XK,57169,YB
SKS,AG,17865,VQ
UGI,RE,64219,ZX
LIE,FM,34974,NS
KTB,TV,64843,TY
NMU,JY,90426,NK
MGO,JH,94765,OI
FQD,AK,88043,FV
EGA,EK,02670,YV
PBZ,MH,09605,JC
DTZ,XC,43339,GU
EOY,NQ,09218,YL
OQI,KV,01196,QQ
VMQ,CI,72267,FU
UNY,YQ,99315,WU
TWJ,VL,20584,QY
RDT,BS,21818,QD
NPS,UQ,69961,HY
XAU,OZ,40564,DQ
SMB,JW,58385,JT
YOM,OT,73253,AK
DPT,BC,59515,NN
SKV,ZH,96586,NW
YAD,KY,04710,DD
VPY,EC,27676,PX
HMW,AL,25932,RZ
UKR,CX,87466,CA
CJR,LY,39535,AO
AMK,LB,62244,DW
YNM,WS,05233,MJ
XTJ,HN,87950,SU
EBG,NI,94633,XI
JGB,UM,99347,MJ
AYK,EC,69671,VI
RDI,KY,07247,LA
XQU,IF,62598,XW
GNQ,WY,86795,TK
OKO,FO,83594,UK
HPP,WZ,08377,KO
WWW,ZD,80027,PM
PEE,EQ,78248,TK
HEW,DZ,21098,ZF
EUU,XW,73105,QH
UMW,IH,47560,GL
MWU,GX,32829,ZO
ZWC,GA,37010,PT
SMP,DK,33067,GV
SZT,WF,16944,VD
QAW,VW,20710,YN
TVO,AK,91042,RA
KGV,PL,35599,WI
FKW,FQ,16782,PW
GZS,YN,42668,NE
KCH,BN,36133,IF
UXX,XB,13373,CK
HBD,DY,97350,VP
IBK,DY,00671,NV
ZIX,YH,42490,HJ
MHA,BL,24120,HM
RWS,JI,09250,RI
SOF,YL,98562,OD
ZPO,BW,14795,BZ
UDP,GC,50841,WB
BGF,BA,52500,RV
VIF,YE,74766,TI
BQA,XN,99673,MT
FBZ,NV,63664,QG
VQO,ZG,19694,DV
KUY,XJ,89161,AA
QVV,MD,13620,IT
OUJ,LL,94577,NN
XME,NW,78744,PE
RLK,JE,23621,JV
VPC,OM,96718,HF
DGG,QA,78914,VT
BRI,NL,70826,JV
GMT,HW,11137,KW
TFN,JO,79935,YN
UTU,BH,33139,FR
IPJ,IV,14963,CT
WUU,KK,84495,EK
TKP,CY,09363,ZU
RSD,LH,42274,CG
UZK,TF,67767,FG
YQI,RM,05764,EW
FYK,AC,61621,RW
KKG,BE,63073,AZ
WIM,CD,90433,KR
OVT,DJ,14252,QY
MHM,CP,74635,EJ
KCD,OJ,21742,HK
NKT,ED,10238,WZ
QYO,YE,24113,VO
KXZ,QH,49678,PP
YYD,DL,56477,US
EQH,IL,36588,QO
KGP,FE,02555,NN
AED,AB,16456,VP
POC,TR,12877,RI
NMD,CA,30238,BE
FFR,OE,76637,GI
DFZ,HW,58234,FO
EYJ,UU,97972,JF
HWL,IE,31348,YC
NXO,IP,79123,XM
EGX,OI,21689,UI
GDO,ZG,95514,QH
ROG,QX,26646,PS
MQV,LK,02889,BV
FNU,VW,74798,XJ
ITX,AY,91454,GH
LSC,JC,86387,HR
NQG,FW,19600,NY
SQD,XT,65355,IQ
UNO,TX,08926,NL
QOQ,BY,32336,ZB
IMM,FG,68686,TC
CSV,DX,56858,DM
JMR,TX,59973,VM
CAX,ZC,13252,KA
CCY,TF,16402,TW
INF,NE,53581,TW
RQT,BL,81166,IQ
NZI,YJ,50448,QV
OJA,CE,39042,XK
QNK,PE,31175,PF
BCE,NY,99225,NC
YQD,PF,64661,YD
XJY,QH,06910,SA
ZOE,WA,56602,OV
HNY,CK,71571,CP
AEQ,QQ,86691,UJ
UNN,YF,48331,GG
BAQ,NL,27017,PT
MWB,LP,23494,FY
AVP,MQ,24108,KY
DBZ,IH,25582,JN
SXU,HV,83186,ZM
OEX,GH,20524,LT
ZHB,IV,39559,EK
AZY,KI,94006,KD
VCG,HY,72398,BV
LSE,UW,19629,FK
UTA,CV,77665,TB
AJO,YO,19897,TV
UVK,NX,20638,NH
BGX,WB,09217,ZT
LAH,NG,47975,ZW
OUL,OH,85362,PA
GMZ,BQ,92770,BP
TLC,LD,81165,SL
ZTT,PD,42233,CV
LRZ,DG,89239,MT
IYX,WD,99917,NH
JCE,NJ,00298,MD
TJM,TL,88126,MC
TCC,PL,19775,TM
GUZ,EZ,16243,SW
SXP,WY,19212,AY
GKO,QV,28707,RJ
WYY,CL,83786,SC
RJB,YH,36319,DW
FED,WA,35463,SZ
VUM,AB,00995,KO
KVO,ZL,49387,AR
JAK,QT,53852,HR
XWI,SZ,11001,TC
GJA,CE,92135,BA
PAC,IY,59159,JD
DXZ,VY,54498,UA
LCB,FA,97707,RA
KIP,LR,08257,MG
RQJ,QJ,49194,NM
WQN,KB,46413,GK
XZM,EA,72560,EK
BOW,GC,10470,SE
LXV,NR,37171,UA
OIJ,EH,39969,KQ
BFF,MN,73136,AC
HLA,RK,20974,SY
HEO,KN,19870,RW
GQF,ID,75120,XE
IUZ,NC,19589,RW
TXN,SQ,66051,UC
DQS,KN,79698,DL
UKO,DB,31804,NU
PAQ,WS,33465,EI
NKM,NT,74703,FO
FPR,DY,35873,VN
QAO,EG,54348,WZ
TPT,ZV,39600,KB
GNR,VP,59623,GL
CQA,GI,01100,GN
IZS,YR,90728,UF
ZRN,TJ,83327,BH
VAS,SI,10428,WI
GXK,YT,93700,SD
TNM,JZ,69739,LC
BSV,GX,64689,GS
JPX,EV,02622,YI
LCZ,MG,37931,KK
DMZ,PL,91325,XY
XKT,CZ,63355,CF
ZRG,EZ,14415,KX
MFA,KU,69422,AJ
WCG,YX,46372,OC
HGN,MO,50194,TD
QKO,DN,59499,DX
YRK,HF,48905,ON
ITE,HY,51983,AU
JYY,HU,30449,ZT
CDH,TQ,00104,EG
JWR,NS,03794,TA
UOL,CS,14779,RP
MBN,BP,18953,ZE
QCD,LS,74648,LE
OZE,SD,77512,EX
CAN,GT,80991,NC
VHR,OM,17201,IJ
ZUJ,VE,92983,BM
VIM,TP,40655,EF
PGZ,CX,22044,XH
YTW,XC,69961,GE
IJE,LQ,27970,LD
YXY,QR,58228,VX
RWY,FO,68485,TC
HKL,WN,92600,NV
TOB,HT,10550,LE
DBC,QD,03280,BV
GJE,LZ,57260,YG
PDQ,CL,41596,TR
KGJ,DJ,03177,KP
BLP,UR,32746,KM
RQO,MA,64619,GD
RWH,YM,93922,IX
ZXH,YO,66141,FQ
QRJ,KV,34458,UI
JWG,CR,26980,XE
FKB,YB,24022,DZ
NTH,ZD,92410,QO
LYL,ME,48502,NB
BKA,GQ,11043,DA
DAN,VI,88405,MF
GTK,IT,32506,DP
III,HN,58356,VQ
BXL,JQ,71481,US
IKP,FS,81415,ZQ
PPJ,QC,57133,VN
YZT,PC,67430,RF
ZWP,QG,61802,OR
QCT,GJ,20446,WM
GUP,RJ,46371,MM
CCB,CG,90600,FZ
QMO,AF,81628,SK
HZK,MX,96135,LQ
RWW,EI,87392,TW
ZYJ,EG,72372,QC
LXZ,JK,28211,DJ
QUV,NB,13781,XG
JMJ,HI,69201,GY
WWV,PZ,80635,VX
BDN,VR,90947,DP
ZCK,NC,14979,WW
JQH,PA,54182,RM
ZWF,JG,24110,YJ
TBC,EY,58458,JU
SWN,MV,58944,RE
YSV,HQ,23266,GE
RGB,FO,76555,NY
SKS,YY,31837,DL
HIT,PL,88231,GF
FNW,YJ,63532,TB
IKL,CY,73412,GX
FSI,HH,63595,LW
LDF,JO,66844,FB
SWV,SM,46942,SR
MXK,ZK,01896,LC
AFM,ED,98508,LF
HPN,PI,20013,UH
JRX,VZ,83169,IF
GUG,RT,88934,IO
KGE,NX,74874,DU
JLX,XQ,99741,ZC
JXK,WB,46845,PK
TGO,MG,67007,NY
ULS,SV,33091,BC
ZFW,XJ,13380,EC
HUT,SK,94764,WG
EDZ,ZS,63066,XK
WLC,PF,35965,FC
IHN,HJ,94330,CW
WHW,KQ,81150,JE
KBJ,GA,32522,GM
KPY,HC,78548,XR
EZS,EG,50459,DZ
SBZ,DP,97756,JK
CHM,FP,54752,KX
LMT,FR,33332,VL
BKV,EI,22730,VW
DRW,HR,64371,DQ
FMM,GI,13561,TW
TMD,II,56071,US
BFS,FX,02880,CF
FYJ,QG,14220,GP
BKI,FF,93469,FD
MQN,RX,01950,PI
PRW,XK,64176,AR
FJF,EA,60417,QP
BZP,XQ,24578,XJ
GBY,PL,03507,TP
YJB,II,26144,EW
LIK,PR,33368,UY
WOW,ED,27549,HN
DFM,HS,02229,ZF
RJH,JU,86394,MU
DKS,OQ,76660,YC
WSP,XW,79571,SK
VJU,ZU,74393,LM
TPR,MG,34267,ZN
ICN,LP,64548,YU
WRE,QE,52985,YS
VJT,QH,52465,EK
OEQ,IC,10924,VJ
SWF,YP,96430,CV
JZT,UF,18863,PZ
UJF,LU,63292,LO
RJV,GU,78818,RW
DAH,NG,43654,MG
STB,BY,74651,AJ
MFL,OG,17626,MG
HQM,HX,19518,HV
KSW,UJ,10914,EX
OIT,OI,62809,KW
OGN,MP,80290,ZU
YGF,BT,01931,TV
BSQ,QT,37988,KN
QQP,QZ,72864,UA
SOT,CP,35730,QP
WAY,RC,12952,VY
ZAH,OF,05159,BB
WGU,AH,60211,UC
XQR,VH,48514,OB
UZU,MD,53080,QR
AGD,HU,61872,CU
VGG,QW,88266,JF
CLN,MY,33964,KJ
EOW,FE,35328,ZT
SYS,OQ,42861,VY
LKU,TP,66239,BB
CEA,WA,65161,UO
IGA,FJ,50111,WH
TGR,QO,04911,JW
EXP,EX,98505,CK
GEZ,VS,50528,XJ
YLL,RA,17000,EI
XUG,JK,72544,CP
DXD,GZ,51563,PB
RUT,MG,60308,IP
UME,FV,94523,AG
YUI,PF,85435,NX
CDJ,JV,00683,DD
WLC,BC,64689,XE
NMI,DG,07222,FQ
EHL,YO,48747,EM
XYW,PZ,11292,DS
CTN,MC,02646,KF
LIW,RC,88090,PL
SBO,YO,80846,RP
TKH,WQ,44020,BK
TIF,RX,56591,PO
EOR,DN,55264,QY
EOH,HL,07490,PE
FAC,DO,73840,JJ
YNC,EH,84276,AZ
AYF,ZG,62933,GJ
MIY,TZ,46663,MF
XZR,YE,23631,LS
CGE,FO,96613,WI
UUV,IY,74503,SC
LXE,RB,89929,QD
ASH,HU,30032,DI
PTS,YN,82741,YB
CBY,CT,67331,VA
XNB,YP,72326,VA
SMG,QE,92641,VI
JST,HA,35443,EZ
CVT,UK,25977,RP
PCJ,AU,11798,TG
RZD,XW,42649,QF
DSO,WR,48660,DU
FDB,CO,79836,DW
GLM,WA,89815,IZ
ACU,KZ,23252,GC
BFK,NH,10156,BG
HAX,QE,84592,GO
JKN,BY,05697,RJ
TTO,ER,79208,HY
WUB,TS,94765,YO
DGZ,IX,23074,AV
VVS,IY,06447,XF
VRG,WK,49226,JL
YQS,FC,30852,NO
DMD,SP,22227,WR
GWT,KF,89017,JU
HNO,WZ,54253,MA
VGR,RJ,80949,AV
RKI,AB,10723,UP
YEU,CB,51145,EL
DVI,MU,53865,TD
FMH,NR,26977,QK
HZC,EH,53934,KW
GYS,UF,50587,WL
LXC,LI,02322,LK
JUD,TP,81132,FH
IJB,TK,25245,NL
LDC,UO,14719,EJ
RZW,WA,30376,KZ
LNC,YC,35051,HH
BWI,FN,39659,CH
CJC,GV,70511,EY
NQN,FN,05184,BK
AXI,KF,63209,CY
ENV,IJ,34643,IP
VWS,HX,96891,HM
KES,GJ,48211,GF
NTX,MH,87216,SU
CSY,FB,22617,KY
QAV,SY,97956,ET
IUK,ZA,13677,VF
OAU,VA,89274,KC
HWT,MJ,28035,IL
XCH,KH,69007,QG
YFN,NE,26479,XH
WXI,UR,82858,HW
CQF,YR,51078,WW
UDT,SX,74024,ZX
MSR,WZ,99481,ZK
TJQ,HA,01407,QW
XYK,KX,53759,WQ
LGN,LK,93741,XZ
YYC,ZX,92824,QA
FGE,CO,27257,LP
NAI,CC,39530,KI
TAW,UK,17438,QO
KCB,MJ,40067,GM
OJC,KH,25926,IH
IWU,XP,22500,RC
FVW,AC,17491,BP
XRS,NR,14484,NG
QHN,LR,25026,XT
OLK,SV,70049,ZP
QLV,FM,36595,CX
YYR,SM,21669,GG
TOT,QY,09927,CU
HIK,GE,03633,FB
UHK,XA,07730,VA
ZNU,NY,11412,XZ
IOR,RK,86695,ZW
IOG,KZ,57339,DV
WDC,LA,31952,CW
YUZ,YT,29408,NY
QOW,LA,52218,JA
EVA,WX,69168,QE
NKB,JS,30509,OB
PTW,NX,72469,GQ
YGV,RO,48747,UV
GAU,IV,67465,OB
VDM,WQ,08818,AA
GFB,GZ,92693,ES
RLN,OD,65909,GM
QKS,KP,97794,QV
NHX,SL,73139,OG
IIP,FJ,34865,EB
XYD,IF,02199,FS
NOG,DA,07757,CF
EFN,UU,22660,FA
ISR,RY,01351,IM
BLB,JB,15667,BA
PVG,JQ,44966,NP
CDK,DO,83861,RY
KLB,NT,92870,XZ
OUT,RP,34301,AP
QZZ,UJ,85816,NW
CIS,WP,98237,FF
VIE,MX,63880,BN
GHC,IA,87116,UA
PNR,LJ,48403,ZX
TNO,WL,76333,BX
EAC,NC,66247,UW
WNL,QN,72142,VT
PMZ,EL,84920,ZP
CYZ,RS,13895,SZ
TQX,BF,96096,PO
JYP,NA,81343,YV
MMA,VP,45120,ZZ
KKE,YA,74511,HF
ZJB,FL,78791,XK
QBO,ME,86063,OH
MBT,KV,37577,LL
HNK,YO,35877,RV
EZS,BZ,22204,DP
JSI,OA,24900,TX
CSX,BK,34257,MG
OIW,JP,04856,DW
UNK,VH,27344,HY
RFD,XB,36877,GZ
TZD,EX,84438,EL
LMO,KR,03394,DW
OLN,FN,21414,JT
UUG,PO,55546,GV
PRL,UG,73070,BY
XMD,AQ,79294,SN
IRG,YX,33522,DS
ATB,KF,35806,YP
XSX,ZD,15438,UR
XWW,HJ,40245,UC
XTW,NJ,58666,OS
RYR,DE,39215,TR
FUT,VU,03267,ES
NLF,IU,38009,VC
OMO,RC,06224,YJ
YQE,UP,14257,MO
ZEQ,GV,17289,EG
